code,descriptor,cperson,addr1,addr2,tel,fax,email,tin,branchid,id
101,PANSOL TRADING,,"HOUSE A-5 2680 F,B HARISON",SAN RAFAEL PASAY CITY,551-2396,,,180-194-302-000,F8056E535D0B11E5ADBC00FF59FBB323,156
58,"PAPER ONE, INC.",,"# 12 TRINIDAD ST.,VICTORIA",VILLAGE CANUMAY VAL CITY,983-8000,,,210-623-253-000,F8056E535D0B11E5ADBC00FF59FBB323,157
15,PAULINO FLORES JR.,,,,049-8371650,09162763294/09202908517,,,F8056E535D0B11E5ADBC00FF59FBB323,158
108,PC HOME CONSUMER ELECTRONICS,,STALL 421 MARKET MARKET,BONIFACIO GLOBAL CITY,,,,242-858-257-002V,F8056E535D0B11E5ADBC00FF59FBB323,159
111,PELICAN FRESH FRUITS,,STALL 25 FIESTA MARKET SOUTH,"SIDE, TAGUIG CITY",,,,133-409-175-000,F8056E535D0B11E5ADBC00FF59FBB323,160
53,"PEPSI-COLA PRODUCTS PHILS., INC.",,WEST CAPITOL DRIVE KAPITOLYO,PASIG CITY,866-9967,,,000-168-541-029,F8056E535D0B11E5ADBC00FF59FBB323,161
809,PETRON,,"EDSA COR., ARNAIS AVE.","DAMARINAS VILLAGE, MAKATI CITY",885-7230,,,007-815-510-000V,F8056E535D0B11E5ADBC00FF59FBB323,162
86,PHILHEALTH,,,,,,,,F8056E535D0B11E5ADBC00FF59FBB323,163
33,PHILIPPINE BRITISH ASSURANCE CO. INC.,,,,,,,,F8056E535D0B11E5ADBC00FF59FBB323,164
78,PHILIPPINE WINE MERCHANTS,,,,,,,000-303-256-000,F8056E535D0B11E5ADBC00FF59FBB323,165
13,PLDT,,LEGASPI COR. DELA ROSA ST.,MAKATI CITY,,,,000-488-793-000V,F8056E535D0B11E5ADBC00FF59FBB323,166
109,PMFTC INC.,,ZEBRA COMPOUND FAIRLINE ST.COR,"WEST CAPITOL,PINEDA,PASIG CITY",,,,007-515-588-049V,F8056E535D0B11E5ADBC00FF59FBB323,167
164,"POLAR QUEEN WATERWAYS,INC.",,720D SANTIAGO ST. SAMPALOC,MANILA,9194591774,,,007-019-796-000V,F8056E535D0B11E5ADBC00FF59FBB323,168
33,"PUREGOLD PRICE CLUB,INC.",,"M CONCEPCION ST,BUTING PASIG",CITY,640-3958/640-9,,,201-277-095-007,F8056E535D0B11E5ADBC00FF59FBB323,169
166,RAMIREZ FRUITS STATION,,23-24 MARKET MARKET TAGUIG,,,,,194-199-407-000N,F8056E535D0B11E5ADBC00FF59FBB323,170
170,RDEX FOOD INTERNATIONAL PHILIPPINES INC.,,"STALL 45 SEAFOODS SEC,FIESTA",MARKET-MARKET THE FORT TAGUIG,889-9334,,,005-979-710-005V,F8056E535D0B11E5ADBC00FF59FBB323,171
113,RETAINER'S FEE ATTY FORTUN,,,,,,,116-283-812-000,F8056E535D0B11E5ADBC00FF59FBB323,172
36,RHIANNE KATE ENTERPRISES,REYNANTE U. LAZARO-PROP.,4/F MARKET MARKET GLOBAL CITY,USUSAN TAGUIG CITY,8866731/7298049,,,215-199-234-001V,F8056E535D0B11E5ADBC00FF59FBB323,173
26,"RKMI PILIPINAS, INC.",,BLDG.1 UNIT IND'L COMPLEX,AQUINO AVE.SAN DIONISIO PARA¥A,820-0479,,,229-019-087-000V,F8056E535D0B11E5ADBC00FF59FBB323,174
901,ROAN MARKETING,,BLK. 212 LOT 2 SAMPAGUITA ST.,"PEMBO, MAKATI CITY",808-6492,,,900-017-729-000V,F8056E535D0B11E5ADBC00FF59FBB323,175
DCC,ROSE FOUR DINER,,Dasmari¤as Commercial Complex,San Agustin 1 Dasma Cavite4114,(046)424-1886,9328543051,,167-669-791-000,F8056E535D0B11E5ADBC00FF59FBB323,176
DAS,ROSE FOUR DINERS,,C063 LGF SM City Dasmari¤as,Brgy. Sampaloc,9423904028,,,167-669-791-002,F8056E535D0B11E5ADBC00FF59FBB323,177
SOU,ROSE FOUR DINERS,,Unit 1151-1152 SM Southmall,Zapote Rd.Almanza Uno Las Pi¤a,511-1266,0932-8525224,,167-669-791-001,F8056E535D0B11E5ADBC00FF59FBB323,178
163,RW SOLUTIONS MARKETING CORP.,MISS LEAH,UNIT 808 CATTLEYA CONDO. 235,SALCEDO ST. LEGASPI VIL. MKT,8924438/7740369,,,008-755-005-000,F8056E535D0B11E5ADBC00FF59FBB323,179
28,SAN MIGUEL BREWERY INC.,,"100 BERNABE AVENUE., SUCAT",PARANAQUE,826-5581,,,006-807-251-018V,F8056E535D0B11E5ADBC00FF59FBB323,180
29,"SANITARY CARE PRODUCTS ASIA, INC.",,,,,,,004-640-600-000,F8056E535D0B11E5ADBC00FF59FBB323,181
9,"SANTINI FOOD SPECIALISTS, INC.",,"1012 TERESA ST., RIZAL VILLAGE",200 MAKATI CITY,896-12-96,,,005-028-513-000,F8056E535D0B11E5ADBC00FF59FBB323,182
BMT,SBM TRANSPO,,,,,,,0,F8056E535D0B11E5ADBC00FF59FBB323,183
MEG,SHA-DINE 6 DINERS,,Upper G/F Mega B SM Megamall,Brgy.Wack-Wack Mandaluyong Cty,909-7213,0922-8629306,,273-856-283-001,F8056E535D0B11E5ADBC00FF59FBB323,184
BAT,SHA-DINE 6 DINERS,,SM Batangas City Ave. Brgy.,Palocan Batangas City 4200,0933-9281452,,,273-856-283-002,F8056E535D0B11E5ADBC00FF59FBB323,185
GRN,SHA-DINE 6 DINERS,,g/f Legaspi St. San Lorenzo,Makati City,892-1545,9228629317,,273-856-283-000,F8056E535D0B11E5ADBC00FF59FBB323,186
11,SHAN-BONN-JADD GENERAL MERCHANDISE,,PASILIO 3 BLOCK 3-C GUADALUPE,COMML. COMPLEX MAKATI CITY,,,,106-226-027-000,F8056E535D0B11E5ADBC00FF59FBB323,187
115,SIGRID AND KYOKO ENTERPRISE,RINA REYES,40 Quezon Ave. Bankers Village,"III, Antipolo City Philippines",696-4604,,,132-075-016-000,F8056E535D0B11E5ADBC00FF59FBB323,188
305,SIKAT ARAW TRADING CORP.,,"RM. 1115 STATE CTR. BLDG.,",JUAN LUNA ST. BINONDO MANILA,242-55-15,,,000-666-945-000V,F8056E535D0B11E5ADBC00FF59FBB323,189
189,SIKAT ARAW TRADING CORP.,,RM 1115 STATE CTR.BLDG.JUAN,LUNA ST.BINONDO MANILA,242-5511,,,000-666-945-000V,F8056E535D0B11E5ADBC00FF59FBB323,190
326,"SIX""T"" ENTERPRISES",,SAN GUILLERMO AVE BUTING,PASIG CITY,,,,,F8056E535D0B11E5ADBC00FF59FBB323,191
KHT,SKH TRANSPO,,,,,,,0,F8056E535D0B11E5ADBC00FF59FBB323,192
25,SKY PC COMPUTER CENTER,,GILMORE ST.VALENCIA QUEZON CTY,,4141477,,,000-000-000-000,F8056E535D0B11E5ADBC00FF59FBB323,193
712,SM AURA PREMIER,,26th St.Mc Kinley Parkway,Brgy Fort Bonifacio Global Cit,,,,000-144-976-064V,F8056E535D0B11E5ADBC00FF59FBB323,194
83,SOCIAL SECURITY SYSTEM,,,,,,,0,F8056E535D0B11E5ADBC00FF59FBB323,195
80L,SOCIAL SECURITY SYSTEM LOAN,,,,,,,0,F8056E535D0B11E5ADBC00FF59FBB323,196
31,"SOFIA SEAFOOD, INC.",,2346 MARCONI ST BRGY PALANAN,MAKATI CITY,832-8020,,,007-883-931-000V,F8056E535D0B11E5ADBC00FF59FBB323,197
32,SOUTH STAR DISTRIBUTOR INC.,,KALAW STREET BF HOMES,PARANAQUE CITY,809-15-66,,,203-010-720-000,F8056E535D0B11E5ADBC00FF59FBB323,198
69,STATION SQUARE EAST COMMERCIAL CORP.,,MARKET MARKET BONIFACIO GLOBAL,CITY TAGUIG CITY,886-7517,,,000-471-500-000V,F8056E535D0B11E5ADBC00FF59FBB323,199
SVH,STEPHEN VILLAHERMOSA,,"FESTIVAL SUPERMALL, MUNTINLUPA",CITY,,,,000-000-000-000,F8056E535D0B11E5ADBC00FF59FBB323,200
61,SUPER 8 GROCERY WAREHOUSE,,G/F Guadalupe Commercia,"Complex EDSA Guadalupe,Makati",,,,221-693-893-017,F8056E535D0B11E5ADBC00FF59FBB323,201
152,T.H.E ELECTRONICS BOUTIQUE INC.,,SPACE L4 433-435 FOURTH FLOOR,MARKET! MARKET! GLOBAL CITY,,,,006-750-574-012V,F8056E535D0B11E5ADBC00FF59FBB323,202
157,TEBEEMINI CORPORATION,,unit 405 taipan place don f.,ortigas center pasig city,,,,008-282-025-000V,F8056E535D0B11E5ADBC00FF59FBB323,203
999,TEMP UNKNOWN,,,,,,,,F8056E535D0B11E5ADBC00FF59FBB323,204
35,TERESA & SON'S,,,,,,,000-307-807-000,F8056E535D0B11E5ADBC00FF59FBB323,205
214,"THE WINES & SPIRITS SPECIALIST, INC",,"166 Sen Gil Puyat Avenue,",Pasay City,,,,232-035-041-000,F8056E535D0B11E5ADBC00FF59FBB323,206
56,"TIP TOP DISTRIBUTION, INC.",,5/F 508 MDC-VFP BLDG.6 INDUSTR,IAL VETERANSST.TAGUIG CITY,,,,205-899-943-000V,F8056E535D0B11E5ADBC00FF59FBB323,207
97,"TRI-DATA INTEGRATORS, INC",,"31ST STREET,CRESCENT PARK WEST",BONIFACIOGLOBAL CITY TAGUIG,8828287,,,008-375-087,F8056E535D0B11E5ADBC00FF59FBB323,208
22,TRIPLE D,,BLK 17 LOT 33 VILLA LUISA,"HOMES I DASMARINAS, CAVITE",(046) 973-0827,,,109-711-854,F8056E535D0B11E5ADBC00FF59FBB323,209
27,TRL MEAT DEALER,,"95 19th Avenue,San Roque,","Murphy, Quezon City",9123040/4403585,,,115-300-670-000V,F8056E535D0B11E5ADBC00FF59FBB323,210
110,TROPICAL ISLE ENTERPRISES,,"35 Pacific Drive,Pacific Grand","Villa, Paranaque City",,,,245-189-390-000,F8056E535D0B11E5ADBC00FF59FBB323,211
52,V.M. LIWANAG ENTERPRISES,Valeriano Liwanag,Sta Rosa Laguna,,(049)837-6174,,,107-080-681-00,F8056E535D0B11E5ADBC00FF59FBB323,212
39,VADUZ MARKETING CORP.,,BLDG 6 VETERANS COMPOUND,TAGUIG METRO MANILA,858-1385,,,215-365-080-000,F8056E535D0B11E5ADBC00FF59FBB323,213
54,WATSONS,,Fort Bonifacio Taguig  M Mnla,,,,,230-393-680-006,F8056E535D0B11E5ADBC00FF59FBB323,214
